Age Bracket,Gender,Temperature of food,Texture of food,Stacking,Type of Sanitiser,No. of Vents,Vents Sizes,Flut Size,Packaging Leaking,Package Satisfaction,Sanitiser Satisfaction
65+,Male,Just Right,Just Right,Top,Gel 3ml,4,Small,C,Yes,Neutral,Satisfied
35-44,Female,Just Right,Just Right,Top,Gel 3ml,4,Small,C,No,Satisfied,Satisfied
35-44,Male,Just Right,Just Right,Top,Liquid 2ml,4,Small,C,No,Satisfied,Satisfied
55-64,Male,Just Right,Just Right,Top,Gel 3ml,4,Small,C,No,Satisfied,Satisfied
18-24,Male,Just Right,Just Right,Top,Liquid 2.5ml,4,Small,C,Yes,Neutral,Satisfied
55-64,Female,Just Right,Just Right,Top,Gel 3ml,4,Small,C,Yes,Satisfied,Satisfied
25-34,Male,Just Right,Just Right,Top,Liquid 2ml,4,Small,C,Yes,Neutral,Satisfied
25-34,Female,Just Right,Just Right,Top,Liquid 2ml,4,Small,C,Yes,Neutral,Satisfied
45-54,Female,Hot,Dry,Top,Gel 3ml,4,Small,C,Yes,Satisfied,Satisfied
45-54,Male,Just Right,Just Right,Top,Liquid 2ml,4,Small,C,Yes,Not Satisfied,Satisfied
65+,Female,Just Right,Dry,Bottom,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
18-24,Female,Just Right,Just Right,Bottom,Liquid 2ml,4,Small,E,Yes,Satisfied,Satisfied
65+,Male,Just Right,Just Right,Bottom,Gel 3ml,4,Small,E,Yes,Not Satisfied,Satisfied
35-44,Female,Just Right,Just Right,Bottom,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
35-44,Male,Just Right,Just Right,Bottom,Liquid 2ml,4,Small,E,No,Satisfied,Satisfied
55-64,Male,Just Right,Just Right,Bottom,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
18-24,Male,Just Right,Just Right,Bottom,Liquid 2.5ml,4,Small,E,No,Satisfied,Satisfied
55-64,Female,Cold,Dry,Bottom,Gel 3ml,4,Small,E,No,Neutral,Satisfied
25-34,Male,Just Right,Just Right,Bottom,Liquid 2ml,4,Small,E,No,Very Satisfied,Satisfied
25-34,Female,Just Right,Soggy,Bottom,Liquid 2ml,4,Small,E,No,Satisfied,Satisfied
45-54,Female,Hot,Just Right,Bottom,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
45-54,Male,Just Right,Just Right,Bottom,Liquid 2ml,4,Small,E,No,Satisfied,Satisfied
65+,Female,Just Right,Dry,Top,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
18-24,Female,Just Right,Just Right,Top,Liquid 2ml,4,Small,E,No,Very Satisfied,Satisfied
65+,Male,Just Right,Just Right,Top,Gel 3ml,4,Small,E,Yes,Not Satisfied,Satisfied
35-44,Female,Cold,Just Right,Top,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
35-44,Male,Just Right,Just Right,Top,Liquid 2ml,4,Small,E,No,Satisfied,Satisfied
55-64,Male,Just Right,Just Right,Top,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
18-24,Male,Just Right,Just Right,Top,Liquid 2.5ml,4,Small,E,No,Satisfied,Satisfied
55-64,Female,Cold,Soggy,Top,Gel 3ml,4,Small,E,No,Neutral,Satisfied
25-34,Male,Just Right,Just Right,Top,Liquid 2ml,4,Small,E,No,Very Satisfied,Very Satisfied
25-34,Female,Just Right,Just Right,Top,Liquid 2ml,4,Small,E,No,Very Satisfied,Satisfied
45-54,Female,Just Right,Just Right,Top,Gel 3ml,4,Small,E,No,Satisfied,Satisfied
45-54,Male,Just Right,Just Right,Top,Liquid 2ml,4,Small,E,No,Satisfied,Satisfied
65+,Female,Just Right,Soggy,Bottom,Gel 3ml,4,Big,C,Yes,Not Satisfied,Satisfied
18-24,Female,Just Right,Soggy,Bottom,Liquid 2ml,4,Big,C,Yes,Neutral,Very Satisfied
65+,Male,Just Right,Just Right,Bottom,Gel 3ml,4,Big,C,No,Satisfied,Satisfied
35-44,Female,Cold,Just Right,Bottom,Gel 3ml,4,Big,C,No,Satisfied,Satisfied
35-44,Male,Cold,Just Right,Bottom,Liquid 2ml,4,Big,C,No,Satisfied,Satisfied
55-64,Male,Just Right,Just Right,Bottom,Gel 3ml,4,Big,C,No,Satisfied,Satisfied
18-24,Male,Just Right,Just Right,Bottom,Liquid 2.5ml,4,Big,C,No,Satisfied,Satisfied
55-64,Female,Just Right,Just Right,Bottom,Gel 3ml,4,Big,C,No,Satisfied,Satisfied
25-34,Male,Just Right,Just Right,Bottom,Liquid 2ml,4,Big,C,No,Satisfied,Satisfied
25-34,Female,Just Right,Just Right,Bottom,Liquid 2ml,4,Big,C,No,Very Satisfied,Satisfied
45-54,Female,Hot,Just Right,Bottom,Gel 3ml,4,Big,C,No,Satisfied,Satisfied
45-54,Male,Just Right,Just Right,Bottom,Liquid 2ml,4,Big,C,Yes,Neutral,Satisfied
